V160001,dislikeReps,demhatesreps,rephatesdems
300335,"They spend way too much times voting on things in the past such as abbortion, civil rights, they don't suppprt regulations on banks and big business, they appear to be influenced by lobbiest and money//",1,0
300339,I feel they are not represtative of the population and they have their own agenda//,1,0
300343,"their views don't seem to match with mine, their principles dont match with mine. were on two wave lenghts\\",1,0
300344,"More concerned about rich people and keeping their wealth, than people in general",1,0
300360,Sarah Palin and the fact that they are old people living in the dinosuar ages and they're bvery immature about healthcare and they are bullies. //,1,0
300371,I don;t like the abortion issues is womens choice its mainly christianity governement and religion needs to seperate there needs to be an amendment on the 2nd amendment I don;t like how there followers are being towards be people of other religions or are different and I don't like towards me and my fellow LGBT members or their views towards us//,1,0
300376,trickle down economics//probably their hypper proo religious stances// not anti relgion//obstructionsim//,1,0
300389,,1,0
300398,"You don't like how they handle wars, how they communicate.// They seem to help other countries and not their own.// They seem to be for the rich, not for the poor like Democrats//",1,0
300404,I DO NOT LIKE TAX DISTRIBUTION / DONT LIKE THE VIEWS ON HEALTH CARE/ VIEWS LGBT ISSUES/WHAT OCCURED ON WALL ST AND LARGE BANKS/TRANSPIRED IN 2008 CRASH OF MARKET AND WHAT PROCEEEDED IT/ DONT LIKE RICH GET RICHER POOR GET POOER,1,0
300406,Donald Trump is running. If there were another person maybe.//that's it,1,0
300450,pro life,1,0
300456,,1,0
300460,The are more the upper class and rich//,1,0
300482,I'm not a Republican. Economically and socially I don't really agree with anything they've got their plans for.//,1,0
300495,"Usually the Republican party represents the people with money--the millionaires, the billionaires.",1,0
300499,"I am not a big supporter of the gun laws and religious view points. They are stuck in the poast slow to have progressive thoughts and ideals. For instance, gay marriage and anti abortion. I feel like the Republican is fueled by money rather than human need//",1,0
300542,Their stance on the economy and how to increase jobs and their foreign policy & their policy towards the arts and education in general.  I don't agree with that in general.//,1,0
300545,"Most everything; their platform, their attitude toward women and minorities, the poor. And their moralistic approach; I really resent that. // I cold go on and on. But I just think they are wrong. Very desperatetly wrong; and I am afraid. Afraid of what they are going to do in this election. // That's plenty.",1,0
300554,stance on reproductive rights/direction for the econmy/inability to raise  or groom candidates for being a president/to much of an infulence on religious issues/stance on immigration/,1,0
300558,"there postions on war, the amout of money they believe should be appropriated for military funding, tax brackets that benefit the abulunt, the filthy rich// dedication to serving major corporations, there stands on womans rights, there pro life movement// there harsh stance on imigration, the war on drugs and or the war on crime how it sanificantly effects the minortiy groups nearly exclusively, how they consistantly disregard the scientist, disregard of parvised individuadl of impoverised monorities, the prapa gation of the american dream the idiology that is ignorant of the obsticals faced by minoritie populations and differnt genders, the implicid support of races and sexs and structual, the denial of climate change, there views on health care, perpetuation on privatize prsion system, there stance on treating drug use and addiction as a meco matter rather than a matter of public health",1,0
300559,"cater to the rich. tax breaks they give to milliionaries , want to shift costs to average person//",1,0
300583,"Um, they don't seem willing to reach across the aisle. It's a generalization, but I just disagree with a lot of the far right attitudes. Once again, it's a generalization...but their attitutes about women, race, socioeconomic diversity. // It seems skewed to making the rich richer. /",1,0
300587,they favor  rich people and whit,1,0
300610,,1,0
300620,They on ly care about super rich people//They only care about themselves//,1,0
300622,I dont like how as a party they do not value transparency or seem to value transparency and open mindedness.//,1,0
300629,,1,0
300634,,1,0
300641,its all about big businees//,1,0
300642,THEY DON'T WANT TO WORK WITH THE DEMOCRATS//,1,0
300655,"Umm, Lack of progression and intolerance.//",1,0
300676,,1,0
300679,,1,0
300694,"I disagree with thier nonprogressive, everything should be the way it's always been,traditionalism,",1,0
300695,I think Republicans are self centered and tend to be focused on Money. Money is important but the main issue is People. America was built on People and you need to be focused on that. I don't thnik Republicans get that.,1,0
300706,I dont like the fact that they are very narrow minded bringing religion into politics.//,1,0
300719,that they favor guns. that they want totake social security away. //,1,0
300724,,1,0
300734,not open to change or progressiveness,1,0
300740,,1,0
300743,THEIR POLICIES THE REPUBLICANS ARE NOT FOR OUR PEOPLE//THE PEOPLE COVER IT ALL IT GOES ON AND ON//,1,0
300745,"dont like how friendly they are with corporate companies, a lot of their ideology when it comes to spending. Too big an emphasis on military budget where we should be more f an isolated cuntry. Dont agree with sticking our nose into other countries business that we dont belong in//",1,0
300749,,1,0
300790,,1,0
300796,I dont like that they always want to stop progress stop functioning promote an unfair tax code where the wealthy get unfair tax breaks and their conservative views witht he supreme court justice and their stance on antiimigration,1,0
300798,"obstructive,tone deaf,narrow minded",1,0
300799,SEE PREVIOUS ANSWER// LTHEY NEED TO OPEN THEIR EYES AND SEEE HOW MUCH THEY CAN SAVE BY PREVENTING RATHER THAN REACTION TO CRISIS//,1,0
300816,viewpoints are in economic growth over social growth\\,1,0
300819,That they are supporting trump or that some of them are.//That they are too conservative dealing with other peoples rights especially women.//,1,0
300827,they are geared more towards people who are more financially stable,1,0
300831,,1,0
300833,I DON'T LIKE THAT THEY HAVE BEEN ACTIVELY COURTING AND ENCOURAGING CRAZY PEOPLE//,1,0
300847,"The fact they've allowed fear to become their calling card and instead of being the party of how we can fix this, they've become the party of fear and looking back and not looking forward. And to our great detriment. Done. //",1,0
300853,"those who support it, donald trump unable to find a better candidate, history//",1,0
300857,i want the govt to stay out of womens and families rights\\ she does like their policies on the military and defense (this part would go on what she does like),1,0
300860,they seem to be more for the rich than the poor,1,0
300875,Their machinery seems more in play. Overt corruption. Probably the worst of the old boy network example.//,1,0
300883,"Their attitude toward women, minorities, guns//their economic policies favor the rich",1,0
300885,"Um, i feel their lack of understanding of American citizens and those who live here in America.//Their black or white thinking of the issues that America is dealing with.//I don't feel like they are coming up with a solution that is not extremeluy punative.So, they don't take into consideration of all the other people that live in America that are not causing problems.//",1,0
300898,"The current republican party I find to be racist, homophobic, narrow minded, pig headed and backwards thinking. //",1,0
300901,they have cultivated an atomosphere of fear and distrust in our country //,1,0
300911,"THEY HAVE CREATED THE MOST, THEY'VE WIDENED THE DIVIDE BETWEEN THE PARTIES, THEY'RE NOT WORKING TOWARDS THE GOOD OF THE COUNTRY, THEY'RE NOT WILLING TO COOPERATE, THE WHOLE POINT IN GOVERNMENT IS TO COOPERATE WITH PEOPLE, THEY'RE NOT DOING THEIR JOBS//",1,0
300917,I don't like that they place big businness over people.//,1,0
300920,Everything else about them right now is wrong.  They were hard liners before but they are gone harder now--they are racists and have gone totally off the grid.,1,0
300924,ALOT OF THE REPUBLICAN  PARTY IS AGAINST GUN CONTROL AND THEY DON'T HAVE MUCH INTREST IN EDUCATION//,1,0
300926,seems like an old white mens club and theyre xenophobia and seemingly unwillingly to compromise and pass anything in congress or senate//,1,0
300927,,1,0
300931,"everything, they are racist//",1,0
300935,"Extreest views, trying to take away womends rights, pushing christianity on everybody, I think they have lost their way, and thats the problem with theold republican party I grew up withh I could support, but the new republican party is in shambles, gone too far with gun rights and I feel they are on path to being next Hamas, becoming to extreme they are becoming terrifying in my opinion and so partisan.//",1,0
300940,"positions on the economy, healthcare, education, and social reform",1,0
300953,more for the rich,1,0
300968,favor cooperations and the rich//,1,0
300973,It seems to me that the republican party is out to knock down whatever the idea the democratic party puts out they want to knock down and doesn't give it  chance whatever it is that it is they just throw it out. Even though it''s a demorcratic and republican party we should be able to woirk it out there is no togetherness//,1,0
300976,Their stance on social issues.,1,0
301006,I don't like the way they work the House.  They are the do nothing party.//I have not always not liked the Republican party. I think it was a racial thing against Obama.,1,0
301008,they need to work b etter with the other party and get better things done,1,0
301019,"tax breaks for upper class, no interest in healthcare reform, most of the views on immigration// where to begin, not fore now",1,0
301020,,1,0
301026,"I don't agree with their beliefs on family planning, abortion rights, religion, birth control and things like that. I don't know that they have the right ideas on business. Corporations should pay higher taxes//gun control  and their views on the 2nd amendment",1,0
301028,i dont like the republican party even though my [REDACTED DETAILS] is republican party but thats his business / down here in this town all these people are republica and they just dont know what theyre doing if you ask me,1,0
301030,"They seem to promote they seem to be disconnected from reality, they seem to be they stifle progress in the government , promote divsion and arguing and bickering.\\",1,0
301034,"involvement in personal rights issues such as religious and antiabortion stances, anti gun control advocacy,",1,0
301052,,1,0
301064,they are for the rich//,1,0
301065,,1,0
301070,"pro life, tqxes and foreign policy//",1,0
301073,They only interested in big business and the rich the multi millionare.//,1,0
301075,,1,0
301089,THEY MOST OF CONGRESS,1,0
301119,"don't like what do they stand for at this time. very dissapoinment they can't come with a better candidate that Donald trump, //",1,0
301129,i thnk what ive said their stance on abortion//,1,0
301130,"DONT CARE FOR THEIR SOCIAL POLICY, FINANCIALLY I DONT FAVOR EITHER PARTY\\",1,0
301135,"They advercerial, not about togetherness, my wy are the highway",1,0
301139,dishonesty looking ot for the wealthy big business is their friend//,1,0
301143,,1,0
301147,"because they are always looking for the interest of the rich people,  and basically they want to reduce taxes for the rich and they dont care about the masses//",1,0
301150,,1,0
301160,they step on the little man to get where they're going //,1,0
301170,,1,0
301184,partionship in congress - choice of donald trump  - to much tax breaks for the wealthy - -,1,0
301187,the white collar criminal/ bankng system/ open markets/ individualization goes too far//,1,0
301193,A lot of them or mostly in it for themselves and when they want to help they are blocked from doing it.//,1,0
301213,"they seems separatist//they don't seemm like they not welcoming diffrent groups like the inmigrants, America was buil by people who came from diffrent places//",1,0
301215,i don't llike their position on issues that are important to me,1,0
301232,"Where they cater to the wealthy, the 1% the wealthy, I don't think they are really there for poor people like myself, I just feel there poistion is mainly for the wealthy, i think social security is something you earn, and then when you reach retirement age they push it highter and highter, like they are doing you a favor//",1,0
301235,They always play the blame game. Blaming someone else instead of coming up with a plan. They should be more concerned about coming up with a plan thats better. They only complain about whats wrong.//,1,0
301245,Their focus tend to be on The money and not on the people. or working class. // They are too conservative.,1,0
301271,think they are too favorable towardbig business and other person freedoms//dont like the way they are agreesive//,1,0
301276,,1,0
301280,"the way they behave the last 8 years. Hidden rascist, government shutdown.",1,0
301293,they way of thinking to the right,1,0
301298,They restrict too much when it comes to universal rights// as latin I believe they are not trying the serious economic problem in Puerto Rico//,1,0
301306,"Obstructionism. Their voter suppression efforts to try to stay in power despite changing demographics in the nation. They need to figure out how to connect to the new realities. And they need to get off the global warming denial. As long as they stick with that, I want nothing to do with them. //",1,0
301322,corruption,1,0
301331,"in general, they are more of tendancy of leaning toward the evangelicals where they are actully taking away rights of individuals. Have forgoten that the nation was founded on religious freedom. Cater more toward the benefit of corporations. Their philosophy of trickle down econcomics does not work in helping the economy and creating jobs.",1,0
301332,I don't like their stances on womens rights and equal rights for gays.  I am very liberal so I don't like most of the conservative views.//,1,0
301333,DOESNT REPRESENT ME//,1,0
301346,"just dont like them, dont provide information information in the democratic area//",1,0
301347,"trickle down economics,divde betwwen rich and poor,tax breaks for the rich",1,0
301355,I don't like their stance on the gun rights. I tend to think they are not racially inclusive. I don't like their stance on abortion. I think they are the ones most responsible for the deadlock in congress.  They are most likely to stonewall to get what they want.,1,0
301356,,1,0
301370,rich keep getting richer,1,0
301371,system for the Republicans is to keep the rich rich and the poor poor//,1,0
301373,"steamroll little guy, steamroll small business//",1,0
301377,I THIK THEY'RE MORE FOR THE RICH//,1,0
301384,too conservative//,1,0
301388,,1,0
301393,greedy - only care about money not how it affects the people,1,0
301396,All of the money is funnelled to the most wealthy in this country and the Republican party promotes inequality.  The rich stay rich and the poor stay poor.  There is no longer any upward mobility.//,1,0
301399,"anti abortion,generally too uncaring for the underprivileged//",1,0
301402,people should have the right to choose or birth control -,1,0
301410,"WELL THEIR STANCE ON GUN CONTROL FOR ONE THING, I JUST DON'T THINK THEY'RE WORKING FOR THE GOOD OF THE PEOPLE,I THINK THAT'S IT//",1,0
301412,how they want to legislate religous views,1,0
301429,,1,0
301434,THEY ARE FOR THE RICH PEOPLE//,1,0
301436,,1,0
301452,They dont care about workers and immigrant families//,1,0
301454,everything else,1,0
301457,too conservative/no,1,0
301458,"The republican party wants to cut Obamo Care that has been a great uh...what word do I want to use. A great help for all citizens especially for those who never had any medical at all. I don't believe that the Republican party is concerned about the citizens as much as the Democratic party is. Especially, the poor people.//",1,0
301460,THEY ARE JUST FOCUSED ON THE HIGHER INCOME BRACKETS//,1,0
301464,Donald trump is in it,1,0
301472,"thyre exclusiveness, their inconsideration of the populus",1,0
301474,They are for themselves//,1,0
301491,,1,0
301500,"I don;t think abortion should be prt of politics, and thats what Republicans are so much",1,0
301511,TOO MUCH RELIGIOUS INFLUENCE//HIPROCACY//DON'T LIKE MOST OF THEIR ECONOMIC PLATFORMS,1,0
301513,"Out of all of their people (presidential candidates), no one is organized or qualified//The bigger picture of - in Washington - the House and Senate, they won't work with the Democrats, it seems like it's deliberate that they'll refuse to agree with the Democrats on anything, it appears from what I see on TV that it's just grandstanding, it's deliberate, I think Ryan will be better than Boehner was, but I think that Ryan seems to be a little more cooperative, a little more willing to talk nice, play nice, plays well with others",1,0
301515,:\\making issues stangant and not progressing on anything,1,0
301516,"religion, guns,wnating to kill with guns bothers me//I don't like how they take if someone is on welfare they don't understand how people get there//",1,0
301519,"views on gun control, refugees, wall,abortion//",1,0
301533,,1,0
301538,I disagree with their social stances; especially how religious and radically religious it's become.// And I don't like their stance on intense deregulation of the government.//,1,0
301544,,1,0
301545,I haven't heard anything about senior citizens. I have to consider myself a senior citizen as I'm [REDACTED AGE] now. They want to cut social security programs. Social Security keeps going up and up. No one is saying anything about the older citizens. I have to work until I'm almost 80 and I'm not feeling that. I want to cry.//,1,0
301556,"They are intensionally dishonist and delutional and the candidates they have been putting out are frauds, they use cheating and very heavily favor the wealthy, I think that there are many within the republican party that do not believe in in democtracy, Citizins united came from the right//",1,0
301564,"PRO LIFE VIEWS, GUN CONTROL AND INVOLVEMENT WITH THE NRA THE BIG TAX CUTS THAT THEY WANT TO OFFER THE WEALTHY AND HUGE INCENTIVES THAT THEY WANT TO OFFER BIG BUSINESSES",1,0
301580,thatthey support trump//,1,0
301584,Excess of zeal on the second amendment//,1,0
301589,they allow the weathy people to put their money in other countries they do not want the rich to pay their taxes and they outsource jobs to other countries and tkae that away from america\\,1,0
301602,dont allow certain laws to pass because obama is black,1,0
301608,party is i will quote hilary and say they are a basket of deploribles they are not for common sense gun control they are againsit womens rigts there tax persp3ctive is fofr the rich - they are not doing there job - wont pass leggistration about th zika virus - there first response is always no even when they are good candidates,1,0
301611,"that i don't feel like they're , sometimes i feel fewer people benefit from social policies than democratic policies//",1,0
301617,their intransigence and complete unwillingness to move the govenerment/this has been complete obstruction,1,0
301624,schizophrenia,1,0
301645,THEY WAGE WARS EVERY TIME THEY COME//,1,0
301649,they tend to go for the ones that got the money//,1,0
301651,I feel like most corporations and the 1% of the nation make the laws to benefit them and not the working people. //,1,0
301654,,1,0
301659,I think the party as a whole tends to be narrow minded and more focused on the budget than the people.,1,0
301666,The lack of a moral compass. And the lack of empathy that they project particularly when it comes to minority groups in the United States which are quickly becoming a very important part of the nation and deserve the same rights as majority groups.//Donald Trump.//,1,0
301677,dont believe their ideas are very intelligent at times,1,0
301678,As an African American I don't think they have been inclusive enough of my culture.//,1,0
301685,,1,0
301697,They are beholden to right wing. They are always attacking rather than thinking of the future. They destroy rather than create.//,1,0
301705,"They are hypocritical//socially backwards//they are not truthful//opportunistic//lack substance, leadership//lacking in courage to do what's right//",1,0
301708,,1,0
301710,demonize the opposition and they often cater to racists and people who are anti immigrants and their attitude about Obama is deplorable//they have a warped view of what the Supreme Court is and what a strict constructionist is//i wish they were better able to work witht he emocarts for the good of the country//,1,0
301712,THEIR RECORD ON WOMENS HEALTH ISSUES AND PUBLIC HEALTH ISSUES\\,1,0
301731,:\\it seems not to be for the working and poor peoople,1,0
301746,don't like the way they run things,1,0
301748,I don't like that they're against gay marriage//against abortion//their views on health care//,1,0
301749,"I dont like that they seem completely, how to say, the actions and policies don't reflect their messages like they represent the desires of working class but in action they work on lowering taxes for the wealthy and moral righteousness they hold themselves in . They both have upsatnding people and mrally bankrupt people. Dont like they are the party of big business.",1,0
301759,,1,0
301766,I don't like their feelings apparent feelings on minorities. I don't like their stance on gay marriage. I despise their feelings on women's health care rights and basically the right to abortion. I don't feel like they are pulling us b ack to the 50's. I feel like their envirronmental policies are a joke.//,1,0
301767,I think they control the media.//,1,0
301777,"Climate change denial, corporate walfare//",1,0
301786,"THEIR POSITIONS ON SOCIAL ISSUES AT ALL, OR ANY OTHER ISSUES FOR THAT MATTER",1,0
301789,Don't wish to say,1,0
301791,,1,0
301799,"I think the overriding routine dilemma I have with the Republican Party is their continued desire to increase the wealth of the wealthiet and however they try to mask that effort that's what they have been doing in my lifetime.  And it's never proven to be successful, that if the rich are richer, that they will provide jobs has been proven over the last 8 years to be truly false.  Because they have never been wealthier with the lowest interest rate in the cost of money ever and the jobs have not been there. So allowing them to get more wealthy allows them to just continue to stuff their mattress and look out for themselves.",1,0
301803,"The dsame thing of the Democratic party, they are in the click of should be their way or not other way and they dont care about the common people.",1,0
301805,Tea party portion of the party//Their backing of Donald Trump and their stances on social issues,1,0
301809,they seem to have a great interest to ensure that you are born but don't give a damn afterwarss//,1,0
301812,The lack of caring for others.//THeir economic plans are horrible . They are for keeping the rich rich.,1,0
301821,"little tolerance that do not fit into the conservative mindset, not as open minded//",1,0
301828,THEY WRRY ABOUT OTHER COUNTRY INTENTION,1,0
301840,rather divisive slowing undoing the social net//the leadership when there in congress unrelated to economic principles,1,0
301844,,1,0
301857,,1,0
301870,Everything there is nothing I like about the Republican Party. Its sad.//,1,0
301876,I DONT LIKE THE WAY THAT THEY BRING THEIR RELIGIOUS VIEW INTO THE POLITICAL ARENA. I FEEL THAT THEY ARE LESS INCLINED TO NEGOTIALTE THAN THE DEMOCRATES. I DONT LIKE THE WAY THEY TEND TO FAVOR THE WEATHY OVER THE DISADVANTED. REGARDING TAXES.//,1,0
301877,,1,0
301880,out of touch with the wants and needs of the people,1,0
301883,"They refuse to work with the other branched of government, it has only hurt the country they are doing for their pockets, they are selfish, there should be term limits, they should live with the rules they make for us, people hire them, they do not do that, they should not have any more benefits than we do, it should not be an reitirement, when they finish their term they should go back to the private sector, no retirement with benefits//",1,0
301893,"I feel a very strong inability to work across party lines; gridlock//I don't like the term 'compassionate conservative', because I'm not sure there's true compassion for the masses in the agenda//I really dislike their opposition to the ACA",1,0
301895,its promoting econmic inequality//very scretive//undermining Demorcracy,1,0
301906,"Yeah I mean I don't like anywhere where they stand on any of the issues, at all. //",1,0
301910,I don't like their positions on social issues and healthcare issues,1,0
301917,TO ME  ITS MOREOF THE RICH PEOPLE//THEY DON'T REPRESENT ME//,1,0
301941,don't like the way tey distrespeected our Presdient and have not worked with Democrats the way they should//,1,0
301942,They are prejudice//They are a very prejudice party,1,0
301946,"One is that he's against people coming into our country illegally and doing drugs, killing. I think they should be more precaoutious of whop is here.\\",1,0
301956,To me the seem to care about who they know about and their circle. I don't want to be stuck up but they seem stuck up.//That's it..,1,0
301959,"I feel like the whole foundation of the Republican party is self interest, economically. The rich gets richer and the poor get poorer. That economic structure is very bad for our country and promotes inequality.//I don't like how some factions of the party are making decisions about womens' rights. That I don't believe in// I think most of their focus is mostly on lowering taxes and building walls, not literally but and uhm I think that disagress on what our country is founded on. // I just think having a Republican leader the way they are now would be detramental to future generations//",1,0
301961,The taxes. They are rich and don't get taxed enough.\\,1,0
301968,Their views//,1,0
301971,NEARLY EVERYTHING//WE CAN GO ON FOREVER SO I JUST SAID THEY ARE CONTRADICTING AND LIERS,1,0
301977,I feel as though I can relate less to the views they share//Sometimes the Republican party seesm to rigid,1,0
301992,They're anti-abortion// They're not pro-choice//,1,0
302007,"there choice of candidate this year, they choose Trump this year that doesn't seem that is not a good person//",1,0
302014,old rich man pushing reproducive law on women//they are out of touch//,1,0
302030,They just seem to be stuck in their old ways; I feel like they just kinda appeal to one group of people being white businessmen. I really don't think Donald Trump is going to help them change that that much. //,1,0
302034,they seem o be old style not creative dont seem to have good foregin policy,1,0
302037,,1,0
302047,que ellos an estado en contra aporvar leyes migritorias y no me gusta//,1,0
302050,I think they need to get along about the business of the peole instead of doing work they should be doing wasting tax payers dollars,1,0
302053,"I think most of their policy positions that get the most attention have little or nothing to do with republican philosopy--invidivdul freedom and having the lowest level of government having the most power--gay marriage, abortion...are in direct contact with what I see as Republican philosophy.// The projection of librals, minorities, immigrants, women, as evil or somehow less American as white mailes.//",1,0
302080,The members have been very disrespectful to the president//some of the members do not have compassion for people that are not wealthy,1,0
302093,old standards need to change theri ways they are all crooks,1,0
302097,their judgement towards families on low income//,1,0
302100,"Everything//Just like with the presidential race, with the Republican party it just seems like a lot of dramatics and any real solutions//",1,0
302123,they tri to block Obama every move since he's taken office; instead of taking the country they are voting as republicans in order to prevent the Demcrates from doing anything// and with this election the whole party seems to be falling apart//,1,0
302124,like everything //,1,0
302125,Their stand on financials is really my biggest concern,1,0
302128,,1,0
302138,I THINK THEY ARE TOO RELIGIOUS ON THE MORALITY OF PEOPLE. I THINK THEY ARE ALSO TO MUCH FOR BIG BUSINESS. THEY WANT THE BIG BUSINESSES TO DO PRETTY MUCH WHAT THEY WANT. I DON'T THINK THEY ARE GOOD FOR ENVIRONMENT EITHER LIKE FOR CLIMATE CHANGE AND EPA AND SMOG THEY WANT TO DO AWAY WITH THAT AND I FEEL THAT HAS HELPED US OVER THE YEARS.//,1,0
302148,Stance on environmental issues and stance on social issues. //,1,0
302155,I think a lack of inclisivity especially for lower income individuals and ;lack of recognition for a more inclusive health care policy at National level.//Lack of coherant foreign policy approach and lack of willingness to work across party lines. Inattention to environmntal issues.,1,0
302164,DONT LIKE HOW THEY HANDLE THE GOVERNMENT,1,0
302166,,1,0
302169,I feel they have gone off track are in the hands of the christian right and further have proven obstuctionist and not at all colabrative in congress. Further I feel they are out of touch with the direction that this country needs to go in terms of multiculturism enviramental iossues such as climate change and the economy.,1,0
302171,THEY WONT COMPROMISE. GOVERNMENT IS ABOUT COMPROMISE. THEY SHUT DOWN THE GOVERNMENT BECAUSE THEY ARE NOT WILLIING TO COMPROMISE. TOO RIGID. CAPITALISM WORKS BUT WITHOUT A MIDDLE CLASS YOU HAVE WORKING POOR IN 2 % RICH AND YOU WILL HAVE ANOTHER AMERICAN REVOLUTION. WHEN YOU HAVE NOTHING TO LOSE YOU HAVE REVOLUTION. THEY LIVE ON FEAR I'D RATHER LIVE ON HOPE.//,1,0
302186,,1,0
302193,,1,0
302195,They have lost touch with anyone who is not a wealthy white American.,1,0
302207,trump runs his mounth no plane in platform,1,0
302218,,1,0
302219,offten their views are tied into things like abortion - that is always coming up - dhoulnd't be an issue in elections. they focus too much on that conservative viewpoirnt and not onissues like the eonomny and edication and the issuest that make poeple to emotionsal//,1,0
302223,putting a fence with mexico,1,0
302233,"peoples united has corrupted the republician party , social issues",1,0
302245,"They cave to big industry from Agriculture to the fossil fuel industry. And, design policies that are detrimental to the environment. The biggest challenge I have to republicans is that time and time again, they will put big business over the Environment. Pollution, Habitat destruction, eco system degregation. the long term affects of big business such as mining Timber production, it comes at a great cost to the environment and local communities. They seem beholden to the mighty dollar more so than Democrats. Short sided policies have resulted in short term gains.//",1,0
302246,"Um, I feel like they are not strict enough on guns. Don't support the women's right to her body, are not candidates for the protection of the LGBQ community. They are not willing to progress as times change. Um, I think just in general they are quintessentially the party for the Christian white man.//That's all.",1,0
302252,,1,0
302262,They're attitude of stoping all goverment process and progress because their candidate is not in the white house.// Their willingness to abandom their constitutients to win political arguments.// Their blocking of Obama's Supreme Court's nomination.//,1,0
302266,,1,0
302267,,1,0
302269,"CLOSED MINDED, CONSERVATIVE, NOT PROGRESSIVE, LIKE TO ARGUE INSTEAD OF COMPROMISE, THERE PREVENTING bARRACK FROM DOING THE BEST JOB THAT HE CAN DO\\",1,0
